"基金名稱","綠色退休基金"	
"貨幣","HKD"	
"成立日期","2006/03/31"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2008/01/01","116.21"	
"2008/01/02","115.81"	
"2008/01/03","115.51"	
"2008/01/04","112.83"	
"2008/01/05","112.83"	
"2008/01/06","112.83"	
"2008/01/07","112.43"	
"2008/01/08","111.54"	
"2008/01/09","111.64"	
"2008/01/10","111.54"	
"2008/01/11","110.64"	
"2008/01/12","110.64"	
"2008/01/13","110.64"	
"2008/01/14","111.73"	
"2008/01/15","109.17"	
"2008/01/16","107.5"	
"2008/01/17","105.92"	
"2008/01/18","104.83"	
"2008/01/19","104.83"	
"2008/01/20","104.83"	
"2008/01/21","101.91"	
"2008/01/22","101.61"	
"2008/01/23","102.21"	
"2008/01/24","105.2"	
"2008/01/25","104.8"	
"2008/01/26","104.8"	
"2008/01/27","104.8"	
"2008/01/28","105.0"	
"2008/01/29","106.0"	
"2008/01/30","105.5"	
"2008/01/31","106.6"	
"2008/02/01","108.18"	
"2008/02/02","108.18"	
"2008/02/03","108.18"	
"2008/02/04","108.08"	
"2008/02/05","104.49"	
"2008/02/06","103.69"	
"2008/02/07","103.69"	
"2008/02/08","103.69"	
"2008/02/09","103.69"	
"2008/02/10","103.69"	
"2008/02/11","102.71"	
"2008/02/12","104.28"	
"2008/02/13","104.97"	
"2008/02/14","104.97"	
"2008/02/15","104.58"	
"2008/02/16","104.58"	
"2008/02/17","104.58"	
"2008/02/18","105.07"	
"2008/02/19","105.56"	
"2008/02/20","104.67"	
"2008/02/21","104.97"	
"2008/02/22","104.97"	
"2008/02/23","104.97"	
"2008/02/24","104.97"	
"2008/02/25","106.85"	
"2008/02/26","108.13"	
"2008/02/27","108.53"	
"2008/02/28","107.73"	
"2008/02/29","105.56"	
"2008/03/01","105.56"	
"2008/03/02","105.56"	
"2008/03/03","104.58"	
"2008/03/04","103.99"	
"2008/03/05","104.97"	
"2008/03/06","103.78"	
"2008/03/07","102.49"	
"2008/03/08","102.49"	
"2008/03/09","102.49"	
"2008/03/10","101.19"	
"2008/03/11","103.08"	
"2008/03/12","103.68"	
"2008/03/13","103.38"	
"2008/03/14","101.81"	
"2008/03/15","101.81"	
"2008/03/16","101.81"	
"2008/03/17","99.64"	
"2008/03/18","102.81"	
"2008/03/19","101.12"	
"2008/03/20","101.72"	
"2008/03/21","101.72"	
"2008/03/22","101.72"	
"2008/03/23","101.72"	
"2008/03/24","101.72"	
"2008/03/25","104.7"	
"2008/03/26","104.7"	
"2008/03/27","104.4"	
"2008/03/28","103.71"	
"2008/03/29","103.71"	
"2008/03/30","103.71"	
"2008/03/31","104.0"	
"2008/04/01","106.38"	
"2008/04/02","107.38"	
"2008/04/03","107.67"	
"2008/04/04","107.67"	
"2008/04/05","107.67"	
"2008/04/06","107.67"	
"2008/04/07","108.27"	
"2008/04/08","107.28"	
"2008/04/09","106.59"	
"2008/04/10","106.88"	
"2008/04/11","105.6"	
"2008/04/12","105.6"	
"2008/04/13","105.6"	
"2008/04/14","104.91"	
"2008/04/15","105.2"	
"2008/04/16","107.66"	
"2008/04/17","107.56"	
"2008/04/18","108.85"	
"2008/04/19","108.85"	
"2008/04/20","108.85"	
"2008/04/21","109.35"	
"2008/04/22","108.45"	
"2008/04/23","108.45"	
