"基金名稱","綠色退休基金"	
"貨幣","HKD"	
"成立日期","2006/03/31"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2017/01/01","137.24"	
"2017/01/02","137.24"	
"2017/01/03","138.07"	
"2017/01/04","139.3"	
"2017/01/05","139.86"	
"2017/01/06","139.95"	
"2017/01/07","139.95"	
"2017/01/08","139.95"	
"2017/01/09","139.36"	
"2017/01/10","139.36"	
"2017/01/11","139.16"	
"2017/01/12","139.73"	
"2017/01/13","140.1"	
"2017/01/14","140.1"	
"2017/01/15","140.1"	
"2017/01/16","139.7"	
"2017/01/17","139.7"	
"2017/01/18","139.88"	
"2017/01/19","138.83"	
"2017/01/20","139.4"	
"2017/01/21","139.4"	
"2017/01/22","139.4"	
"2017/01/23","139.28"	
"2017/01/24","140.04"	
"2017/01/25","141.07"	
"2017/01/26","140.69"	
"2017/01/27","140.49"	
"2017/01/28","140.49"	
"2017/01/29","140.49"	
"2017/01/30","140.49"	
"2017/01/31","140.49"	
"2017/02/01","139.8"	
"2017/02/02","139.79"	
"2017/02/03","140.74"	
"2017/02/04","140.74"	
"2017/02/05","140.74"	
"2017/02/06","140.06"	
"2017/02/07","140.05"	
"2017/02/08","140.42"	
"2017/02/09","140.89"	
"2017/02/10","141.64"	
"2017/02/11","141.64"	
"2017/02/12","141.64"	
"2017/02/13","142.19"	
"2017/02/14","142.57"	
"2017/02/15","143.32"	
"2017/02/16","143.22"	
"2017/02/17","143.78"	
"2017/02/18","143.78"	
"2017/02/19","143.78"	
"2017/02/20","143.76"	
"2017/02/21","144.32"	
"2017/02/22","144.13"	
"2017/02/23","144.31"	
"2017/02/24","143.83"	
"2017/02/25","143.83"	
"2017/02/26","143.83"	
"2017/02/27","143.72"	
"2017/02/28","143.53"	
"2017/03/01","144.75"	
"2017/03/02","144.37"	
"2017/03/03","144.37"	
"2017/03/04","144.37"	
"2017/03/05","144.37"	
"2017/03/06","144.16"	
"2017/03/07","143.87"	
"2017/03/08","143.67"	
"2017/03/09","143.57"	
"2017/03/10","144.23"	
"2017/03/11","144.23"	
"2017/03/12","144.23"	
"2017/03/13","144.49"	
"2017/03/14","144.02"	
"2017/03/15","144.86"	
"2017/03/16","145.61"	
"2017/03/17","145.61"	
"2017/03/18","145.61"	
"2017/03/19","145.61"	
"2017/03/20","145.4"	
"2017/03/21","144.35"	
"2017/03/22","144.06"	
"2017/03/23","144.34"	
"2017/03/24","144.33"	
"2017/03/25","144.33"	
"2017/03/26","144.33"	
"2017/03/27","144.13"	
"2017/03/28","145.35"	
"2017/03/29","145.25"	
"2017/03/30","145.62"	
"2017/03/31","145.24"	
"2017/04/01","145.24"	
"2017/04/02","145.24"	
"2017/04/03","144.75"	
"2017/04/04","144.75"	
"2017/04/05","144.36"	
"2017/04/06","144.54"	
"2017/04/07","144.44"	
"2017/04/08","144.44"	
"2017/04/09","144.44"	
"2017/04/10","144.51"	
"2017/04/11","144.7"	
"2017/04/12","144.5"	
"2017/04/13","143.93"	
"2017/04/14","143.93"	
"2017/04/15","143.93"	
"2017/04/16","143.93"	
"2017/04/17","143.93"	
"2017/04/18","144.28"	
"2017/04/19","144.46"	
"2017/04/20","145.4"	
"2017/04/21","144.92"	
"2017/04/22","144.92"	
"2017/04/23","144.92"	
"2017/04/24","147.27"	
