"基金名稱","北美股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2020/01/01","254.75"	
"2020/01/02","256.58"	
"2020/01/03","254.52"	
"2020/01/04","254.52"	
"2020/01/05","254.52"	
"2020/01/06","254.95"	
"2020/01/07","254.4"	
"2020/01/08","255.68"	
"2020/01/09","257.28"	
"2020/01/10","256.82"	
"2020/01/11","256.82"	
"2020/01/12","256.82"	
"2020/01/13","258.96"	
"2020/01/14","258.78"	
"2020/01/15","259.18"	
"2020/01/16","261.39"	
"2020/01/17","262.04"	
"2020/01/18","262.04"	
"2020/01/19","262.04"	
"2020/01/20","262.02"	
"2020/01/21","261.23"	
"2020/01/22","261.6"	
"2020/01/23","261.65"	
"2020/01/24","259.28"	
"2020/01/25","259.28"	
"2020/01/26","259.28"	
"2020/01/27","259.28"	
"2020/01/28","259.28"	
"2020/01/29","257.49"	
"2020/01/30","258.34"	
"2020/01/31","253.5"	
"2020/02/01","253.5"	
"2020/02/02","253.5"	
"2020/02/03","255.19"	
"2020/02/04","258.67"	
"2020/02/05","261.9"	
"2020/02/06","262.64"	
"2020/02/07","261.25"	
"2020/02/08","261.25"	
"2020/02/09","261.25"	
"2020/02/10","262.95"	
"2020/02/11","263.4"	
"2020/02/12","265.19"	
"2020/02/13","264.58"	
"2020/02/14","265.17"	
"2020/02/15","265.17"	
"2020/02/16","265.17"	
"2020/02/17","265.22"	
"2020/02/18","264.6"	
"2020/02/19","265.81"	
"2020/02/20","265.29"	
"2020/02/21","262.49"	
"2020/02/22","262.49"	
"2020/02/23","262.49"	
"2020/02/24","254.11"	
"2020/02/25","246.42"	
"2020/02/26","245.25"	
"2020/02/27","234.64"	
"2020/02/28","232.7"	
"2020/02/29","232.7"	
"2020/03/01","232.7"	
"2020/03/02","243.26"	
"2020/03/03","236.06"	
"2020/03/04","245.89"	
"2020/03/05","238.06"	
"2020/03/06","234.28"	
"2020/03/07","234.28"	
"2020/03/08","234.28"	
"2020/03/09","217.43"	
"2020/03/10","228.03"	
"2020/03/11","216.85"	
"2020/03/12","196.86"	
"2020/03/13","214.92"	
"2020/03/14","214.92"	
"2020/03/15","214.92"	
"2020/03/16","189.59"	
"2020/03/17","200.19"	
"2020/03/18","189.3"	
"2020/03/19","189.78"	
"2020/03/20","181.36"	
"2020/03/21","181.36"	
