"基金名稱","北美股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2006/01/01","101.8"	
"2006/01/02","101.8"	
"2006/01/03","103.48"	
"2006/01/04","103.97"	
"2006/01/05","104.07"	
"2006/01/06","105.35"	
"2006/01/07","105.35"	
"2006/01/08","105.35"	
"2006/01/09","105.65"	
"2006/01/10","105.56"	
"2006/01/11","106.05"	
"2006/01/12","105.36"	
"2006/01/13","105.36"	
"2006/01/14","105.36"	
"2006/01/15","105.36"	
"2006/01/16","105.35"	
"2006/01/17","104.96"	
"2006/01/18","104.38"	
"2006/01/19","104.86"	
"2006/01/20","102.7"	
"2006/01/21","102.7"	
"2006/01/22","102.7"	
"2006/01/23","102.7"	
"2006/01/24","102.89"	
"2006/01/25","102.69"	
"2006/01/26","102.89"	
"2006/01/27","103.75"	
"2006/01/28","103.75"	
"2006/01/29","103.75"	
"2006/01/30","103.75"	
"2006/01/31","103.75"	
"2006/02/01","103.74"	
"2006/02/02","102.96"	
"2006/02/03","102.37"	
"2006/02/04","102.37"	
"2006/02/05","102.37"	
"2006/02/06","102.46"	
"2006/02/07","101.87"	
"2006/02/08","102.83"	
"2006/02/09","102.84"	
"2006/02/10","103.04"	
"2006/02/11","103.04"	
"2006/02/12","103.04"	
"2006/02/13","102.54"	
"2006/02/14","103.42"	
"2006/02/15","103.62"	
"2006/02/16","104.21"	
"2006/02/17","104.02"	
"2006/02/18","104.02"	
"2006/02/19","104.02"	
"2006/02/20","104.01"	
"2006/02/21","103.61"	
"2006/02/22","104.3"	
"2006/02/23","103.92"	
"2006/02/24","104.01"	
"2006/02/25","104.01"	
"2006/02/26","104.01"	
"2006/02/27","104.49"	
"2006/02/28","103.52"	
"2006/03/01","104.3"	
"2006/03/02","104.2"	
"2006/03/03","104.0"	
"2006/03/04","104.0"	
"2006/03/05","104.0"	
"2006/03/06","103.3"	
"2006/03/07","103.19"	
"2006/03/08","103.68"	
"2006/03/09","103.09"	
"2006/03/10","103.76"	
"2006/03/11","103.76"	
"2006/03/12","103.76"	
"2006/03/13","103.97"	
"2006/03/14","104.85"	
"2006/03/15","105.14"	
"2006/03/16","105.15"	
"2006/03/17","105.25"	
"2006/03/18","105.25"	
"2006/03/19","105.25"	
"2006/03/20","105.24"	
"2006/03/21","104.84"	
"2006/03/22","105.33"	
