"基金名稱","北美股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","90.91"	
"2010/01/02","90.91"	
"2010/01/03","90.91"	
"2010/01/04","92.33"	
"2010/01/05","92.61"	
"2010/01/06","92.33"	
"2010/01/07","92.6"	
"2010/01/08","92.78"	
"2010/01/09","92.78"	
"2010/01/10","92.78"	
"2010/01/11","92.95"	
"2010/01/12","92.03"	
"2010/01/13","92.75"	
"2010/01/14","92.83"	
"2010/01/15","92.09"	
"2010/01/16","92.09"	
"2010/01/17","92.09"	
"2010/01/18","92.06"	
"2010/01/19","93.42"	
"2010/01/20","92.48"	
"2010/01/21","90.82"	
"2010/01/22","88.89"	
"2010/01/23","88.89"	
"2010/01/24","88.89"	
"2010/01/25","89.33"	
"2010/01/26","89.04"	
"2010/01/27","89.39"	
"2010/01/28","88.41"	
"2010/01/29","87.5"	
"2010/01/30","87.5"	
"2010/01/31","87.5"	
"2010/02/01","88.59"	
"2010/02/02","89.69"	
"2010/02/03","89.23"	
"2010/02/04","86.66"	
"2010/02/05","86.84"	
"2010/02/06","86.84"	
"2010/02/07","86.84"	
"2010/02/08","86.16"	
"2010/02/09","87.26"	
"2010/02/10","87.07"	
"2010/02/11","87.89"	
"2010/02/12","87.79"	
"2010/02/13","87.79"	
"2010/02/14","87.79"	
"2010/02/15","87.79"	
"2010/02/16","87.79"	
"2010/02/17","89.68"	
"2010/02/18","90.32"	
"2010/02/19","90.5"	
"2010/02/20","90.5"	
"2010/02/21","90.5"	
"2010/02/22","90.4"	
"2010/02/23","89.43"	
"2010/02/24","90.23"	
"2010/02/25","90.46"	
"2010/02/26","90.66"	
"2010/02/27","90.66"	
"2010/02/28","90.66"	
"2010/03/01","91.54"	
"2010/03/02","91.71"	
"2010/03/03","91.62"	
"2010/03/04","92.0"	
"2010/03/05","93.21"	
"2010/03/06","93.21"	
"2010/03/07","93.21"	
"2010/03/08","92.99"	
"2010/03/09","93.11"	
"2010/03/10","93.62"	
"2010/03/11","93.98"	
"2010/03/12","93.98"	
"2010/03/13","93.98"	
"2010/03/14","93.98"	
"2010/03/15","93.97"	
"2010/03/16","94.6"	
"2010/03/17","95.13"	
"2010/03/18","95.13"	
"2010/03/19","94.76"	
"2010/03/20","94.76"	
"2010/03/21","94.76"	
"2010/03/22","95.29"	
