"基金名稱","北美股票基金"	
"貨幣","HKD"	
"成立日期","2002/01/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2004/01/01","92.29"	
"2004/01/02","91.9"	
"2004/01/03","91.9"	
"2004/01/04","91.9"	
"2004/01/05","93.09"	
"2004/01/06","93.09"	
"2004/01/07","93.57"	
"2004/01/08","94.16"	
"2004/01/09","93.37"	
"2004/01/10","93.37"	
"2004/01/11","93.37"	
"2004/01/12","93.86"	
"2004/01/13","93.17"	
"2004/01/14","94.04"	
"2004/01/15","93.97"	
"2004/01/16","94.71"	
"2004/01/17","94.71"	
"2004/01/18","94.71"	
"2004/01/19","94.8"	
"2004/01/20","94.59"	
"2004/01/21","95.38"	
"2004/01/22","95.38"	
"2004/01/23","95.38"	
"2004/01/24","95.38"	
"2004/01/25","95.38"	
"2004/01/26","95.77"	
"2004/01/27","94.69"	
"2004/01/28","93.39"	
"2004/01/29","93.85"	
"2004/01/30","93.74"	
"2004/01/31","93.74"	
"2004/02/01","93.74"	
"2004/02/02","94.04"	
"2004/02/03","94.14"	
"2004/02/04","93.16"	
"2004/02/05","93.26"	
"2004/02/06","94.67"	
"2004/02/07","94.67"	
"2004/02/08","94.67"	
"2004/02/09","94.38"	
"2004/02/10","94.86"	
"2004/02/11","95.64"	
"2004/02/12","95.34"	
"2004/02/13","94.66"	
"2004/02/14","94.66"	
"2004/02/15","94.66"	
"2004/02/16","94.65"	
"2004/02/17","95.43"	
"2004/02/18","94.94"	
"2004/02/19","94.63"	
"2004/02/20","94.61"	
"2004/02/21","94.61"	
"2004/02/22","94.61"	
"2004/02/23","94.61"	
"2004/02/24","94.4"	
"2004/02/25","94.78"	
"2004/02/26","94.95"	
"2004/02/27","94.76"	
"2004/02/28","94.76"	
"2004/02/29","94.76"	
"2004/03/01","95.84"	
"2004/03/02","95.33"	
"2004/03/03","95.5"	
"2004/03/04","95.89"	
"2004/03/05","95.82"	
"2004/03/06","95.82"	
"2004/03/07","95.82"	
"2004/03/08","94.82"	
"2004/03/09","94.22"	
"2004/03/10","92.82"	
"2004/03/11","91.31"	
"2004/03/12","92.61"	
"2004/03/13","92.61"	
"2004/03/14","92.61"	
"2004/03/15","91.04"	
"2004/03/16","91.54"	
"2004/03/17","92.73"	
"2004/03/18","92.52"	
"2004/03/19","91.53"	
"2004/03/20","91.53"	
"2004/03/21","91.53"	
