Date,富達增長基金_Price
2011/09/16,89.31
2011/09/17,89.31
2011/09/18,89.31
2011/09/19,87.59
2011/09/20,87.68
2011/09/21,86.62
2011/09/22,82.96
2011/09/23,82.66
2011/09/24,82.66
2011/09/25,82.66
2011/09/26,82.08
2011/09/27,84.82
2011/09/28,84.43
2011/09/29,84.43
2011/09/30,82.88
2011/10/01,82.88
2011/10/02,82.88
2011/10/03,80.49
2011/10/04,79.44
2011/10/05,79.44
2011/10/06,82.77
2011/10/07,83.72
2011/10/08,83.72
2011/10/09,83.72
2011/10/10,84.77
2011/10/11,85.72
2011/10/12,86.57
2011/10/13,87.13
2011/10/14,87.13
2011/10/15,87.13
2011/10/16,87.13
2011/10/17,87.68
2011/10/18,86.24
2011/10/19,86.53
2011/10/20,85.38
2011/10/21,86.53
2011/10/22,86.53
2011/10/23,86.53
2011/10/24,88.64
2011/10/25,88.54
2011/10/26,88.82
2011/10/27,91.99
2011/10/28,92.76
2011/10/29,92.76
2011/10/30,92.76
2011/10/31,90.74
2011/11/01,88.26
2011/11/02,89.31
2011/11/03,89.21
2011/11/04,90.26
2011/11/05,90.26
2011/11/06,90.26
2011/11/07,90.06
2011/11/08,90.25
2011/11/09,89.65
2011/11/10,87.7
2011/11/11,88.94
2011/11/12,88.94
2011/11/13,88.94
2011/11/14,89.21
2011/11/15,88.64
2011/11/16,87.68
2011/11/17,87.02
2011/11/18,85.96
2011/11/19,85.96
2011/11/20,85.96
2011/11/21,84.42
2011/11/22,84.32
2011/11/23,82.78
2011/11/24,82.87
2011/11/25,82.2
2011/11/26,82.2
2011/11/27,82.2
2011/11/28,84.1
2011/11/29,85.06
2011/11/30,86.01
2011/12/01,87.83
2011/12/02,88.02
2011/12/03,88.02
2011/12/04,88.02
2011/12/05,88.58
2011/12/06,87.9
2011/12/07,88.57
2011/12/08,87.6
2011/12/09,87.02
2011/12/10,87.02
2011/12/11,87.02
2011/12/12,86.44
2011/12/13,85.77
2011/12/14,84.63
2011/12/15,84.15
2011/12/16,84.81
2011/12/17,84.81
2011/12/18,84.81
2011/12/19,83.95
2011/12/20,84.89
2011/12/21,85.65
2011/12/22,85.93
2011/12/23,86.59
2011/12/24,86.59
2011/12/25,86.59
2011/12/26,86.59
2011/12/27,86.59
2011/12/28,85.81
2011/12/29,85.9
2011/12/30,86.18
2011/12/31,86.18
2012/01/01,86.18
2012/01/02,86.18
2012/01/03,87.8
2012/01/04,87.6
2012/01/05,87.22
2012/01/06,86.64
2012/01/07,86.64
2012/01/08,86.64
2012/01/09,87.11
2012/01/10,88.16
2012/01/11,88.25
2012/01/12,88.25
2012/01/13,88.24
2012/01/14,88.24
2012/01/15,88.24
2012/01/16,87.85
2012/01/17,89.26
2012/01/18,89.73
2012/01/19,90.68
2012/01/20,90.97
2012/01/21,90.97
2012/01/22,90.97
2012/01/23,90.97
2012/01/24,90.97
2012/01/25,90.97
2012/01/26,92.19
2012/01/27,92.18
2012/01/28,92.18
2012/01/29,92.18
2012/01/30,91.21
2012/01/31,91.78
2012/02/01,92.35
2012/02/02,93.39
2012/02/03,93.86
2012/02/04,93.86
2012/02/05,93.86
2012/02/06,93.85
2012/02/07,93.94
2012/02/08,94.8
2012/02/09,94.99
2012/02/10,93.84
2012/02/11,93.84
2012/02/12,93.84
2012/02/13,94.3
2012/02/14,94.01
2012/02/15,95.05
2012/02/16,94.85
2012/02/17,95.51
2012/02/18,95.51
2012/02/19,95.51
2012/02/20,95.97
2012/02/21,95.87
2012/02/22,95.87
2012/02/23,95.77
2012/02/24,96.15
2012/02/25,96.15
2012/02/26,96.15
2012/02/27,95.75
2012/02/28,96.61
2012/02/29,96.7
2012/03/01,96.32
2012/03/02,96.6
2012/03/03,96.6
2012/03/04,96.6
2012/03/05,95.73
2012/03/06,93.8
2012/03/07,93.7
2012/03/08,95.13
2012/03/09,95.51
2012/03/10,95.51
2012/03/11,95.51
2012/03/12,95.3
2012/03/13,96.25
2012/03/14,96.24
2012/03/15,96.62
2012/03/16,96.9
2012/03/17,96.9
2012/03/18,96.9
2012/03/19,96.69
2012/03/20,95.83
2012/03/21,95.54
2012/03/22,95.35
2012/03/23,95.25
2012/03/24,95.25
2012/03/25,95.25
2012/03/26,95.71
2012/03/27,96.47
2012/03/28,95.89
2012/03/29,95.22
2012/03/30,95.5
2012/03/31,95.5
2012/04/01,95.5
2012/04/02,96.06
2012/04/03,96.34
2012/04/04,96.34
2012/04/05,94.8
2012/04/06,94.8
2012/04/07,94.8
2012/04/08,94.8
2012/04/09,94.8
2012/04/10,93.26
2012/04/11,93.06
2012/04/12,94.1
2012/04/13,94.09
2012/04/14,94.09
2012/04/15,94.09
2012/04/16,93.7
2012/04/17,94.17
2012/04/18,94.64
2012/04/19,94.64
2012/04/20,94.73
2012/04/21,94.73
2012/04/22,94.73
2012/04/23,93.57
2012/04/24,93.76
2012/04/25,94.23
2012/04/26,94.99
2012/04/27,95.08
2012/04/28,95.08
2012/04/29,95.08
2012/04/30,95.45
2012/05/01,95.45
2012/05/02,95.53
2012/05/03,95.24
2012/05/04,94.29
2012/05/05,94.29
2012/05/06,94.29
2012/05/07,92.85
2012/05/08,92.46
2012/05/09,91.7
2012/05/10,91.6
2012/05/11,91.02
2012/05/12,91.02
2012/05/13,91.02
2012/05/14,90.06
2012/05/15,89.87
2012/05/16,88.35
2012/05/17,88.16
2012/05/18,87.01
2012/05/19,87.01
2012/05/20,87.01
2012/05/21,87.38
2012/05/22,88.14
2012/05/23,87.09
2012/05/24,87.08
2012/05/25,86.98
2012/05/26,86.98
2012/05/27,86.98
2012/05/28,87.35
2012/05/29,88.29
2012/05/30,87.34
2012/05/31,86.85
2012/06/01,85.81
2012/06/02,85.81
2012/06/03,85.81
2012/06/04,84.75
2012/06/05,85.22
2012/06/06,86.65
2012/06/07,87.5
2012/06/08,87.02
2012/06/09,87.02
2012/06/10,87.02
2012/06/11,87.96
2012/06/12,87.86
2012/06/13,88.13
2012/06/14,87.94
2012/06/15,88.88
2012/06/16,88.88
2012/06/17,88.88
2012/06/18,89.43
2012/06/19,89.9
2012/06/20,90.28
2012/06/21,89.04
2012/06/22,88.27
2012/06/23,88.27
2012/06/24,88.27
2012/06/25,87.6
2012/06/26,87.69
2012/06/27,88.35
2012/06/28,88.25
2012/06/29,90.14
2012/06/30,90.14
2012/07/01,90.14
2012/07/02,90.14
2012/07/03,91.26
2012/07/04,91.26
2012/07/05,90.97
2012/07/06,90.68
2012/07/07,90.68
2012/07/08,90.68
2012/07/09,89.72
