Date,全球基金_Price
2008/09/15,82.38
2008/09/16,78.78
2008/09/17,74.92
2008/09/18,77.84
2008/09/19,81.91
2008/09/20,81.91
2008/09/21,81.91
2008/09/22,79.14
2008/09/23,77.21
2008/09/24,77.36
2008/09/25,79.05
2008/09/26,78.58
2008/09/27,78.58
2008/09/28,78.58
2008/09/29,71.22
2008/09/30,75.28
2008/10/01,75.28
2008/10/02,71.02
2008/10/03,69.91
2008/10/04,69.91
2008/10/05,69.91
2008/10/06,66.55
2008/10/07,66.55
2008/10/08,61.3
2008/10/09,57.52
2008/10/10,56.45
2008/10/11,56.45
2008/10/12,56.45
2008/10/13,64.35
2008/10/14,63.48
2008/10/15,56.63
2008/10/16,59.4
2008/10/17,59.19
2008/10/18,59.19
2008/10/19,59.19
2008/10/20,62.33
2008/10/21,59.69
2008/10/22,55.47
2008/10/23,56.01
2008/10/24,53.15
2008/10/25,53.15
2008/10/26,53.15
2008/10/27,51.21
2008/10/28,57.55
2008/10/29,57.36
2008/10/30,59.74
2008/10/31,60.32
2008/11/01,60.32
2008/11/02,60.32
2008/11/03,60.42
2008/11/04,63.71
2008/11/05,59.95
2008/11/06,56.68
2008/11/07,58.87
2008/11/08,58.87
2008/11/09,58.87
2008/11/10,58.43
2008/11/11,56.76
2008/11/12,53.69
2008/11/13,58.0
2008/11/14,55.04
2008/11/15,55.04
2008/11/16,55.04
2008/11/17,53.84
2008/11/18,53.99
2008/11/19,50.68
2008/11/20,47.29
2008/11/21,50.41
2008/11/22,50.41
2008/11/23,50.41
2008/11/24,53.5
2008/11/25,54.28
2008/11/26,56.15
2008/11/27,56.12
2008/11/28,56.06
2008/11/29,56.06
2008/11/30,56.06
2008/12/01,51.26
2008/12/02,53.54
2008/12/03,54.33
2008/12/04,52.68
2008/12/05,54.17
2008/12/06,54.17
2008/12/07,54.17
2008/12/08,56.6
2008/12/09,55.72
2008/12/10,56.99
2008/12/11,56.01
2008/12/12,56.41
2008/12/13,56.41
2008/12/14,56.41
2008/12/15,56.05
2008/12/16,59.35
2008/12/17,58.65
2008/12/18,57.28
2008/12/19,56.88
2008/12/20,56.88
2008/12/21,56.88
2008/12/22,55.85
2008/12/23,55.13
2008/12/24,55.38
2008/12/25,55.38
2008/12/26,55.38
2008/12/27,55.38
2008/12/28,55.38
2008/12/29,55.78
2008/12/30,57.18
2008/12/31,57.97
2009/01/01,57.97
2009/01/02,59.71
2009/01/03,59.71
2009/01/04,59.71
2009/01/05,59.7
2009/01/06,60.49
2009/01/07,58.55
2009/01/08,59.03
2009/01/09,57.67
2009/01/10,57.67
2009/01/11,57.67
2009/01/12,56.17
2009/01/13,55.9
2009/01/14,53.79
2009/01/15,54.23
2009/01/16,54.58
2009/01/17,54.58
2009/01/18,54.58
2009/01/19,54.58
2009/01/20,51.29
2009/01/21,53.74
2009/01/22,52.69
2009/01/23,52.83
2009/01/24,52.83
2009/01/25,52.83
2009/01/26,52.83
2009/01/27,52.83
2009/01/28,52.83
2009/01/29,53.86
2009/01/30,53.03
2009/01/31,53.03
2009/02/01,53.03
2009/02/02,52.7
2009/02/03,53.77
2009/02/04,53.71
2009/02/05,54.61
2009/02/06,56.37
2009/02/07,56.37
2009/02/08,56.37
2009/02/09,56.31
2009/02/10,53.61
