"基金名稱","穩定資本組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2014/01/01","174.5"	
"2014/01/02","174.14"	
"2014/01/03","173.75"	
"2014/01/04","173.75"	
"2014/01/05","173.75"	
"2014/01/06","173.55"	
"2014/01/07","173.74"	
"2014/01/08","173.9"	
"2014/01/09","173.49"	
"2014/01/10","174.06"	
"2014/01/11","174.06"	
"2014/01/12","174.06"	
"2014/01/13","174.37"	
"2014/01/14","174.31"	
"2014/01/15","174.48"	
"2014/01/16","174.34"	
"2014/01/17","174.57"	
"2014/01/18","174.57"	
"2014/01/19","174.57"	
"2014/01/20","174.44"	
"2014/01/21","174.42"	
"2014/01/22","174.6"	
"2014/01/23","174.27"	
"2014/01/24","173.76"	
"2014/01/25","173.76"	
"2014/01/26","173.76"	
"2014/01/27","172.93"	
"2014/01/28","173.01"	
"2014/01/29","173.39"	
"2014/01/30","173.21"	
"2014/01/31","173.21"	
"2014/02/01","173.21"	
"2014/02/02","173.21"	
"2014/02/03","173.21"	
"2014/02/04","171.13"	
"2014/02/05","171.27"	
"2014/02/06","171.73"	
"2014/02/07","172.58"	
"2014/02/08","172.58"	
"2014/02/09","172.58"	
"2014/02/10","172.87"	
"2014/02/11","173.47"	
"2014/02/12","173.61"	
"2014/02/13","173.63"	
"2014/02/14","173.95"	
"2014/02/15","173.95"	
"2014/02/16","173.95"	
"2014/02/17","174.43"	
"2014/02/18","174.91"	
"2014/02/19","174.78"	
"2014/02/20","174.1"	
"2014/02/21","174.62"	
"2014/02/22","174.62"	
"2014/02/23","174.62"	
"2014/02/24","174.68"	
"2014/02/25","175.05"	
"2014/02/26","175.21"	
"2014/02/27","175.53"	
"2014/02/28","175.75"	
"2014/03/01","175.75"	
"2014/03/02","175.75"	
"2014/03/03","175.28"	
"2014/03/04","175.51"	
"2014/03/05","175.58"	
"2014/03/06","175.87"	
"2014/03/07","175.84"	
"2014/03/08","175.84"	
"2014/03/09","175.84"	
"2014/03/10","175.34"	
"2014/03/11","175.33"	
"2014/03/12","174.82"	
"2014/03/13","174.63"	
"2014/03/14","174.05"	
"2014/03/15","174.05"	
"2014/03/16","174.05"	
"2014/03/17","174.25"	
"2014/03/18","174.8"	
"2014/03/19","174.52"	
"2014/03/20","173.17"	
"2014/03/21","173.22"	
"2014/03/22","173.22"	
"2014/03/23","173.22"	
"2014/03/24","173.45"	
"2014/03/25","173.62"	
"2014/03/26","174.01"	
"2014/03/27","174.19"	
"2014/03/28","174.5"	
"2014/03/29","174.5"	
"2014/03/30","174.5"	
"2014/03/31","174.97"	
"2014/04/01","175.45"	
"2014/04/02","175.44"	
"2014/04/03","175.39"	
"2014/04/04","175.34"	
"2014/04/05","175.34"	
"2014/04/06","175.34"	
"2014/04/07","174.83"	
"2014/04/08","174.95"	
"2014/04/09","175.34"	
"2014/04/10","175.74"	
"2014/04/11","175.03"	
"2014/04/12","175.03"	
"2014/04/13","175.03"	
"2014/04/14","174.84"	
"2014/04/15","174.6"	
"2014/04/16","175.27"	
"2014/04/17","175.43"	
"2014/04/18","175.43"	
