"基金名稱","穩定資本組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2004/01/01","118.38"	
"2004/01/02","118.68"	
"2004/01/03","118.68"	
"2004/01/04","118.68"	
"2004/01/05","119.46"	
"2004/01/06","119.87"	
"2004/01/07","119.98"	
"2004/01/08","120.0"	
"2004/01/09","120.87"	
"2004/01/10","120.87"	
"2004/01/11","120.87"	
"2004/01/12","121.05"	
"2004/01/13","120.82"	
"2004/01/14","120.95"	
"2004/01/15","120.41"	
"2004/01/16","120.17"	
"2004/01/17","120.17"	
"2004/01/18","120.17"	
"2004/01/19","119.86"	
"2004/01/20","120.34"	
"2004/01/21","121.15"	
"2004/01/22","121.15"	
"2004/01/23","121.15"	
"2004/01/24","121.15"	
"2004/01/25","121.15"	
"2004/01/26","121.12"	
"2004/01/27","121.0"	
"2004/01/28","120.67"	
"2004/01/29","119.65"	
"2004/01/30","119.65"	
"2004/01/31","119.65"	
"2004/02/01","119.65"	
"2004/02/02","119.51"	
"2004/02/03","119.68"	
"2004/02/04","119.61"	
"2004/02/05","119.67"	
"2004/02/06","120.36"	
"2004/02/07","120.36"	
"2004/02/08","120.36"	
"2004/02/09","121.13"	
"2004/02/10","121.07"	
"2004/02/11","121.29"	
"2004/02/12","121.83"	
"2004/02/13","122.04"	
"2004/02/14","122.04"	
"2004/02/15","122.04"	
"2004/02/16","122.12"	
"2004/02/17","122.53"	
"2004/02/18","122.74"	
"2004/02/19","122.11"	
"2004/02/20","121.71"	
"2004/02/21","121.71"	
"2004/02/22","121.71"	
"2004/02/23","120.87"	
"2004/02/24","121.05"	
"2004/02/25","121.05"	
"2004/02/26","120.66"	
"2004/02/27","121.07"	
"2004/02/28","121.07"	
"2004/02/29","121.07"	
"2004/03/01","121.52"	
"2004/03/02","121.1"	
"2004/03/03","119.95"	
"2004/03/04","120.1"	
"2004/03/05","120.63"	
"2004/03/06","120.63"	
"2004/03/07","120.63"	
"2004/03/08","120.95"	
"2004/03/09","121.12"	
"2004/03/10","120.26"	
"2004/03/11","119.61"	
"2004/03/12","119.6"	
"2004/03/13","119.6"	
"2004/03/14","119.6"	
"2004/03/15","119.35"	
"2004/03/16","119.74"	
"2004/03/17","120.36"	
"2004/03/18","120.56"	
"2004/03/19","120.77"	
"2004/03/20","120.77"	
"2004/03/21","120.77"	
"2004/03/22","119.96"	
"2004/03/23","120.18"	
"2004/03/24","120.5"	
"2004/03/25","120.14"	
"2004/03/26","120.1"	
"2004/03/27","120.1"	
"2004/03/28","120.1"	
"2004/03/29","119.98"	
"2004/03/30","120.46"	
"2004/03/31","120.94"	
"2004/04/01","121.39"	
"2004/04/02","121.24"	
"2004/04/03","121.24"	
"2004/04/04","121.24"	
"2004/04/05","121.24"	
"2004/04/06","120.69"	
"2004/04/07","121.02"	
"2004/04/08","121.1"	
"2004/04/09","121.1"	
"2004/04/10","121.1"	
"2004/04/11","121.1"	
"2004/04/12","121.1"	
"2004/04/13","120.56"	
"2004/04/14","119.33"	
"2004/04/15","118.69"	
"2004/04/16","118.96"	
"2004/04/17","118.96"	
