"基金名稱","穩定資本組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2003/01/01","102.0"	
"2003/01/02","102.0"	
"2003/01/03","102.16"	
"2003/01/04","102.74"	
"2003/01/05","102.74"	
"2003/01/06","102.74"	
"2003/01/07","102.62"	
"2003/01/08","102.45"	
"2003/01/09","102.75"	
"2003/01/10","102.77"	
"2003/01/11","103.24"	
"2003/01/12","103.24"	
"2003/01/13","103.24"	
"2003/01/14","103.41"	
"2003/01/15","103.44"	
"2003/01/16","103.18"	
"2003/01/17","103.06"	
"2003/01/18","103.04"	
"2003/01/19","103.04"	
"2003/01/20","103.04"	
"2003/01/21","102.99"	
"2003/01/22","102.96"	
"2003/01/23","103.13"	
"2003/01/24","102.91"	
"2003/01/25","102.52"	
"2003/01/26","102.52"	
"2003/01/27","102.52"	
"2003/01/28","102.53"	
"2003/01/29","102.45"	
"2003/01/30","102.25"	
"2003/01/31","102.29"	
"2003/02/01","102.29"	
"2003/02/02","102.29"	
"2003/02/03","102.29"	
"2003/02/04","102.29"	
"2003/02/05","102.31"	
"2003/02/06","101.91"	
"2003/02/07","101.88"	
"2003/02/08","101.74"	
"2003/02/09","101.74"	
"2003/02/10","101.74"	
"2003/02/11","101.51"	
"2003/02/12","101.68"	
"2003/02/13","101.55"	
"2003/02/14","101.78"	
"2003/02/15","101.95"	
"2003/02/16","101.95"	
"2003/02/17","101.95"	
"2003/02/18","102.19"	
"2003/02/19","102.29"	
"2003/02/20","102.31"	
"2003/02/21","102.3"	
"2003/02/22","102.19"	
"2003/02/23","102.19"	
"2003/02/24","102.19"	
"2003/02/25","101.97"	
"2003/02/26","101.84"	
"2003/02/27","101.93"	
"2003/02/28","101.95"	
"2003/03/01","102.36"	
"2003/03/02","102.36"	
"2003/03/03","102.36"	
"2003/03/04","102.28"	
"2003/03/05","102.37"	
"2003/03/06","101.92"	
"2003/03/07","101.77"	
"2003/03/08","101.55"	
"2003/03/09","101.55"	
"2003/03/10","101.55"	
"2003/03/11","101.34"	
"2003/03/12","101.2"	
"2003/03/13","100.9"	
"2003/03/14","101.02"	
"2003/03/15","100.91"	
"2003/03/16","100.91"	
"2003/03/17","100.91"	
"2003/03/18","100.93"	
"2003/03/19","101.09"	
"2003/03/20","101.2"	
"2003/03/21","101.31"	
"2003/03/22","100.95"	
"2003/03/23","100.95"	
"2003/03/24","100.95"	
"2003/03/25","101.17"	
"2003/03/26","101.26"	
"2003/03/27","101.13"	
"2003/03/28","101.1"	
"2003/03/29","100.84"	
"2003/03/30","100.84"	
"2003/03/31","100.84"	
"2003/04/01","101.13"	
"2003/04/02","101.26"	
"2003/04/03","100.85"	
"2003/04/04","101.14"	
"2003/04/05","101.26"	
"2003/04/06","101.26"	
"2003/04/07","101.26"	
"2003/04/08","101.21"	
"2003/04/09","100.93"	
"2003/04/10","101.22"	
"2003/04/11","101.06"	
"2003/04/12","100.95"	
"2003/04/13","100.95"	
"2003/04/14","100.95"	
"2003/04/15","101.36"	
"2003/04/16","101.62"	
"2003/04/17","101.95"	
"2003/04/18","101.93"	
