"基金名稱","穩定資本組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2009/01/01","139.15"	
"2009/01/02","139.84"	
"2009/01/03","139.84"	
"2009/01/04","139.84"	
"2009/01/05","139.22"	
"2009/01/06","137.97"	
"2009/01/07","137.37"	
"2009/01/08","137.31"	
"2009/01/09","137.79"	
"2009/01/10","137.79"	
"2009/01/11","137.79"	
"2009/01/12","136.92"	
"2009/01/13","136.07"	
"2009/01/14","135.58"	
"2009/01/15","134.87"	
"2009/01/16","134.9"	
"2009/01/17","134.9"	
"2009/01/18","134.9"	
"2009/01/19","134.93"	
"2009/01/20","132.68"	
"2009/01/21","132.55"	
"2009/01/22","132.52"	
"2009/01/23","131.73"	
"2009/01/24","131.73"	
"2009/01/25","131.73"	
"2009/01/26","131.73"	
"2009/01/27","131.73"	
"2009/01/28","131.73"	
"2009/01/29","132.97"	
"2009/01/30","132.29"	
"2009/01/31","132.29"	
"2009/02/01","132.29"	
"2009/02/02","131.59"	
"2009/02/03","131.8"	
"2009/02/04","132.26"	
"2009/02/05","132.19"	
"2009/02/06","132.75"	
"2009/02/07","132.75"	
"2009/02/08","132.75"	
"2009/02/09","133.22"	
"2009/02/10","132.91"	
"2009/02/11","133.06"	
"2009/02/12","132.71"	
"2009/02/13","132.76"	
"2009/02/14","132.76"	
"2009/02/15","132.76"	
"2009/02/16","132.25"	
"2009/02/17","131.31"	
"2009/02/18","130.65"	
"2009/02/19","130.11"	
"2009/02/20","129.58"	
"2009/02/21","129.58"	
"2009/02/22","129.58"	
"2009/02/23","129.99"	
"2009/02/24","129.64"	
"2009/02/25","129.46"	
"2009/02/26","128.51"	
"2009/02/27","128.16"	
"2009/02/28","128.16"	
"2009/03/01","128.16"	
"2009/03/02","126.8"	
"2009/03/03","126.45"	
"2009/03/04","126.45"	
"2009/03/05","126.68"	
"2009/03/06","126.57"	
"2009/03/07","126.57"	
"2009/03/08","126.57"	
"2009/03/09","125.93"	
"2009/03/10","126.57"	
"2009/03/11","127.08"	
"2009/03/12","128.21"	
"2009/03/13","128.79"	
"2009/03/14","128.79"	
"2009/03/15","128.79"	
"2009/03/16","129.12"	
"2009/03/17","129.23"	
"2009/03/18","130.19"	
"2009/03/19","132.47"	
"2009/03/20","132.35"	
"2009/03/21","132.35"	
"2009/03/22","132.35"	
"2009/03/23","133.75"	
"2009/03/24","133.66"	
"2009/03/25","132.96"	
"2009/03/26","134.04"	
"2009/03/27","133.68"	
"2009/03/28","133.68"	
"2009/03/29","133.68"	
"2009/03/30","131.96"	
"2009/03/31","132.32"	
"2009/04/01","132.54"	
"2009/04/02","134.26"	
"2009/04/03","134.23"	
"2009/04/04","134.23"	
"2009/04/05","134.23"	
"2009/04/06","134.52"	
"2009/04/07","133.8"	
"2009/04/08","133.02"	
"2009/04/09","134.14"	
"2009/04/10","134.14"	
"2009/04/11","134.14"	
"2009/04/12","134.14"	
"2009/04/13","134.14"	
"2009/04/14","135.6"	
"2009/04/15","135.89"	
"2009/04/16","135.89"	
"2009/04/17","135.39"	
"2009/04/18","135.39"	
