"基金名稱","穩定資本組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2010/01/01","156.33"	
"2010/01/02","156.33"	
"2010/01/03","156.33"	
"2010/01/04","156.85"	
"2010/01/05","158.04"	
"2010/01/06","157.96"	
"2010/01/07","157.68"	
"2010/01/08","157.58"	
"2010/01/09","157.58"	
"2010/01/10","157.58"	
"2010/01/11","158.66"	
"2010/01/12","158.8"	
"2010/01/13","157.93"	
"2010/01/14","158.29"	
"2010/01/15","158.15"	
"2010/01/16","158.15"	
"2010/01/17","158.15"	
"2010/01/18","157.85"	
"2010/01/19","158.08"	
"2010/01/20","157.04"	
"2010/01/21","155.82"	
"2010/01/22","155.37"	
"2010/01/23","155.37"	
"2010/01/24","155.37"	
"2010/01/25","155.24"	
"2010/01/26","154.35"	
"2010/01/27","153.85"	
"2010/01/28","153.76"	
"2010/01/29","153.2"	
"2010/01/30","153.2"	
"2010/01/31","153.2"	
"2010/02/01","153.1"	
"2010/02/02","153.58"	
"2010/02/03","153.86"	
"2010/02/04","152.44"	
"2010/02/05","151.6"	
"2010/02/06","151.6"	
"2010/02/07","151.6"	
"2010/02/08","151.35"	
"2010/02/09","151.67"	
"2010/02/10","151.93"	
"2010/02/11","152.19"	
"2010/02/12","152.2"	
"2010/02/13","152.2"	
"2010/02/14","152.2"	
"2010/02/15","152.2"	
"2010/02/16","152.2"	
"2010/02/17","153.14"	
"2010/02/18","152.54"	
"2010/02/19","151.39"	
"2010/02/20","151.39"	
"2010/02/21","151.39"	
"2010/02/22","152.5"	
"2010/02/23","152.77"	
"2010/02/24","152.68"	
"2010/02/25","152.45"	
"2010/02/26","153.11"	
"2010/02/27","153.11"	
"2010/02/28","153.11"	
"2010/03/01","153.69"	
"2010/03/02","153.82"	
"2010/03/03","154.33"	
"2010/03/04","154.15"	
"2010/03/05","154.24"	
"2010/03/06","154.24"	
"2010/03/07","154.24"	
"2010/03/08","154.89"	
"2010/03/09","154.89"	
"2010/03/10","154.99"	
"2010/03/11","154.98"	
"2010/03/12","155.22"	
"2010/03/13","155.22"	
"2010/03/14","155.22"	
"2010/03/15","154.96"	
"2010/03/16","155.27"	
"2010/03/17","156.28"	
"2010/03/18","155.89"	
"2010/03/19","155.59"	
"2010/03/20","155.59"	
"2010/03/21","155.59"	
"2010/03/22","155.12"	
"2010/03/23","155.44"	
"2010/03/24","154.75"	
"2010/03/25","154.1"	
"2010/03/26","154.32"	
"2010/03/27","154.32"	
"2010/03/28","154.32"	
"2010/03/29","154.97"	
"2010/03/30","155.26"	
"2010/03/31","155.05"	
"2010/04/01","155.85"	
"2010/04/02","155.85"	
"2010/04/03","155.85"	
"2010/04/04","155.85"	
"2010/04/05","155.85"	
"2010/04/06","155.85"	
"2010/04/07","155.81"	
"2010/04/08","155.62"	
"2010/04/09","156.08"	
"2010/04/10","156.08"	
"2010/04/11","156.08"	
"2010/04/12","156.74"	
"2010/04/13","156.51"	
"2010/04/14","156.99"	
"2010/04/15","157.27"	
"2010/04/16","156.64"	
"2010/04/17","156.64"	
"2010/04/18","156.64"	
