"基金名稱","穩定資本組合"	
"貨幣","HKD"	
"成立日期","2000/12/01"	
"計劃名稱","友邦強積金優選計劃"	
	
"日期","基金價格"	
"2019/01/01","179.11"	
"2019/01/02","178.62"	
"2019/01/03","178.6"	
"2019/01/04","179.43"	
"2019/01/05","179.43"	
"2019/01/06","179.43"	
"2019/01/07","179.88"	
"2019/01/08","179.94"	
"2019/01/09","180.98"	
"2019/01/10","181.18"	
"2019/01/11","181.41"	
"2019/01/12","181.41"	
"2019/01/13","181.41"	
"2019/01/14","181.04"	
"2019/01/15","181.64"	
"2019/01/16","181.72"	
"2019/01/17","181.68"	
"2019/01/18","182.19"	
"2019/01/19","182.19"	
"2019/01/20","182.19"	
"2019/01/21","182.32"	
"2019/01/22","182.05"	
"2019/01/23","182.1"	
"2019/01/24","182.51"	
"2019/01/25","183.34"	
"2019/01/26","183.34"	
"2019/01/27","183.34"	
"2019/01/28","183.28"	
"2019/01/29","183.35"	
"2019/01/30","183.74"	
"2019/01/31","184.99"	
"2019/02/01","184.88"	
"2019/02/02","184.88"	
"2019/02/03","184.88"	
"2019/02/04","184.75"	
"2019/02/05","184.75"	
"2019/02/06","184.75"	
"2019/02/07","184.75"	
"2019/02/08","184.58"	
"2019/02/09","184.58"	
"2019/02/10","184.58"	
"2019/02/11","184.47"	
"2019/02/12","184.8"	
"2019/02/13","185.14"	
"2019/02/14","185.13"	
"2019/02/15","184.93"	
"2019/02/16","184.93"	
"2019/02/17","184.93"	
"2019/02/18","185.59"	
"2019/02/19","185.72"	
"2019/02/20","186.26"	
"2019/02/21","186.15"	
"2019/02/22","186.56"	
"2019/02/23","186.56"	
"2019/02/24","186.56"	
"2019/02/25","186.88"	
"2019/02/26","186.89"	
"2019/02/27","186.64"	
"2019/02/28","186.22"	
"2019/03/01","186.36"	
"2019/03/02","186.36"	
"2019/03/03","186.36"	
"2019/03/04","186.47"	
"2019/03/05","186.37"	
"2019/03/06","186.58"	
"2019/03/07","186.13"	
"2019/03/08","185.31"	
"2019/03/09","185.31"	
"2019/03/10","185.31"	
"2019/03/11","185.77"	
"2019/03/12","186.56"	
"2019/03/13","186.79"	
"2019/03/14","186.68"	
"2019/03/15","187.27"	
"2019/03/16","187.27"	
"2019/03/17","187.27"	
"2019/03/18","187.95"	
"2019/03/19","188.07"	
"2019/03/20","188.0"	
"2019/03/21","188.2"	
"2019/03/22","188.23"	
"2019/03/23","188.23"	
"2019/03/24","188.23"	
"2019/03/25","187.62"	
"2019/03/26","187.91"	
"2019/03/27","188.21"	
"2019/03/28","188.05"	
"2019/03/29","188.43"	
"2019/03/30","188.43"	
"2019/03/31","188.43"	
"2019/04/01","188.92"	
"2019/04/02","188.93"	
"2019/04/03","189.39"	
"2019/04/04","189.3"	
"2019/04/05","189.3"	
"2019/04/06","189.3"	
"2019/04/07","189.3"	
"2019/04/08","189.57"	
"2019/04/09","189.66"	
"2019/04/10","189.73"	
"2019/04/11","189.47"	
"2019/04/12","189.47"	
"2019/04/13","189.47"	
"2019/04/14","189.47"	
"2019/04/15","189.45"	
"2019/04/16","189.64"	
"2019/04/17","189.57"	
"2019/04/18","189.47"	
